Concurso,Data Sorteio,1º Prêmio,2º Prêmio,3º Prêmio,4º Prêmio,5º Prêmio
00166,30/05/1964,39498,16159,04728,04178,10057
00167,03/06/1964,08917,12568,20096,21758,11689
00168,06/06/1964,38291,21661,18230,09771,16278
00169,10/06/1964,18426,22394,39915,38917,36366
00170,13/06/1964,27785,04022,19369,36210,34281
00171,17/06/1964,15364,02361,08800,38392,22129
00172,20/06/1964,20895,36735,10263,05137,22536
00173,24/06/1964,00495,18973,12518,32057,24290
00174,27/06/1964,12401,15407,24209,22109,31485
00175,01/07/1964,20571,28908,27361,38281,10312
00176,04/07/1964,21211,32342,31510,37369,16909
00177,08/07/1964,18883,25298,13246,15183,23659
00178,11/07/1964,08564,26334,28514,18617,21345
00179,15/07/1964,11692,31896,11903,01554,28983
00180,18/07/1964,15021,38658,37546,04901,19681
00181,22/07/1964,18813,30358,30193,34365,03026
00182,25/07/1964,13512,34383,18242,28599,22998
00183,29/07/1964,29298,11301,20406,08642,26034
00184,01/08/1964,13406,03564,24412,13857,19206
00185,05/08/1964,13202,25745,00474,03421,00600
00186,08/08/1964,03738,20265,07997,07375,32630
00187,12/08/1964,38876,32923,01978,16569,25228
00188,19/08/1964,26974,22201,26685,15627,26080
00189,22/08/1964,39208,13485,13776,08982,10564
00190,26/08/1964,37132,14191,01251,05162,38325
00191,29/08/1964,08997,10759,22913,03623,15082
00192,02/09/1964,30473,23202,04267,08645,00678
00193,05/09/1964,02338,04445,06081,12135,32377
00194,09/09/1964,22106,35497,26782,05595,34957
00195,12/09/1964,29543,07954,22135,38982,31848
00196,16/09/1964,39501,25471,25685,35867,11922
00197,19/09/1964,12155,16052,20806,34876,19860
00198,23/09/1964,17417,11429,22144,16481,26953
00199,26/09/1964,01795,21357,04129,01248,31523
00200,30/09/1964,08665,11411,01803,25796,27735
00201,03/10/1964,05291,01484,03906,00964,04031
00202,07/10/1964,09743,23654,38304,36778,28603
00203,10/10/1964,19484,20653,19816,36688,20262
00204,14/10/1964,16309,39641,38104,15757,13986
00205,17/10/1964,25114,23325,24234,13242,28688
00206,21/10/1964,12813,05340,11967,20602,29151
00207,24/10/1964,26456,20986,39862,05472,01890
00208,28/10/1964,04547,05074,36271,22198,13539
00209,31/10/1964,15448,03638,02827,11528,00715
00210,04/11/1964,02973,05429,25161,37387,39869
00211,07/11/1964,16584,07942,24598,01361,31564
00212,11/11/1964,08831,18980,23303,13405,38853
00213,14/11/1964,19204,19670,28480,23079,39297
00214,18/11/1964,24169,03079,22650,24679,29041
00215,21/11/1964,01546,34664,35150,09519,18029
00216,25/11/1964,37387,01860,01590,05724,24408
00217,28/11/1964,27787,05971,24617,25199,00098
